time_ms,x,y,z,yaw_deg,sp_x,sp_y,sp_z,sp_yaw_deg
5697.36,0.059729,0.437031,0.007674,0.0000,-0.030902,0.095106,0.000000,0.0000
5702.70,0.056902,0.434075,0.007818,0.0000,-0.030902,0.095106,0.000000,0.0000
5708.23,0.054188,0.431191,0.007892,0.0000,-0.030902,0.095106,0.000000,0.0000
5713.77,0.054188,0.431191,0.007892,0.0000,-0.030902,0.095106,0.000000,0.0000
5719.13,0.051521,0.428437,0.008002,0.0000,-0.030902,0.095106,0.000000,0.0000
5724.73,0.048890,0.425639,0.008052,0.0000,-0.030902,0.095106,0.000000,0.0000
5730.24,0.048890,0.425639,0.008052,0.0000,-0.030902,0.095106,0.000000,0.0000
5735.58,0.046295,0.422878,0.008132,0.0000,-0.030902,0.095106,0.000000,0.0000
5740.92,0.046295,0.422878,0.008132,0.0000,-0.030902,0.095106,0.000000,0.0000
5746.27,0.043765,0.420145,0.008106,0.0000,-0.030902,0.095106,0.000000,0.0000
5751.93,0.041302,0.417482,0.008186,0.0000,-0.030902,0.095106,0.000000,0.0000
5757.30,0.041302,0.417482,0.008186,0.0000,-0.030902,0.095106,0.000000,0.0000
5762.67,0.038783,0.414747,0.008157,0.0000,-0.030902,0.095106,0.000000,0.0000
5768.08,0.036420,0.412151,0.008230,0.0000,-0.030902,0.095106,0.000000,0.0000
5773.24,0.036420,0.412151,0.008230,0.0000,-0.030902,0.095106,0.000000,0.0000
5778.59,0.034083,0.409602,0.008215,0.0000,-0.030902,0.095106,0.000000,0.0000
